Time,U07,U08,U09,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
2007-05-25,-0.015452539,-0.017554859,,,,,,,,,,,
2007-05-29,0.00379867,0.008217446,,,,,,,,,,,
2007-05-30,0.037097833,0.035679214,,,,,,,,,,,
2007-05-31,-0.020578778,-0.020833333,,,,,,,,,,,
2007-06-01,0.034253409,0.015955715,,,,,,,,,,,
2007-06-04,-0.012479475,-0.009354839,,,,,,,,,,,
2007-06-05,-0.002946955,-0.018055116,,,,,,,,,,,
2007-06-06,0.006260297,0.003177629,,,,,,,,,,,
2007-06-07,0.018456376,0.01516129,,,,,,,,,,,
2007-06-08,0.009485095,-0.003215434,,,,,,,,,,,
2007-06-11,0.036153036,0.04961188,,,,,,,,,,,
2007-06-12,0.040540541,0.035290007,,,,,,,,,,,
2007-06-13,-0.015107914,-0.013103448,,,,,,,,,,,
2007-06-14,-0.012082445,-0.014945652,,,,,,,,,,,
2007-06-15,0.025510204,0.018332757,,,,,,,,,,,
2007-06-18,0.004024881,0.011192725,,,,,,,,,,,
2007-06-19,0.033270321,0.03027027,,,,,,,,,,,
2007-06-20,-0.013059701,-0.008574491,,,,,,,,,,,
2007-06-21,0.052631579,0.038589981,,,,,,,,,,,
2007-06-22,-0.012412723,0.006348021,,,,,,,,,,,
2007-06-25,0.066611502,0.058498024,,,,,,,,,,,
2007-06-26,-0.038201353,-0.038753799,,,,,,,,,,,
2007-06-27,-0.010629921,-0.017910448,,,,,,,,,,,
2007-06-28,-0.056112969,-0.051663128,,,,,,,,,,,
2007-06-29,0.013559322,0.027636364,,,,,,,,,,,
2007-07-02,0.012199771,0.00255195,,,,,,,,,,,
2007-07-03,0.014700193,0.018945022,,,,,,,,,,,
2007-07-05,-0.008819018,-0.007008484,,,,,,,,,,,
2007-07-06,0.015576324,0.016116942,,,,,,,,,,,
2007-07-09,-0.005807201,-0.005590757,,,,,,,,,,,
2007-07-10,-0.002702703,-0.00260223,,,,,,,,,,,
2007-07-11,0.01369863,0.012420023,,,,,,,,,,,
2007-07-12,0.006301694,0.006058311,,,,,,,,,,,
2007-07-13,-0.008203125,-0.007142857,,,,,,,,,,,
2007-07-16,0.011058452,0.011022425,,,,,,,,,,,
2007-07-17,-0.025404157,-0.022659733,,,,,,,,,,,
2007-07-18,-0.049048316,-0.048090523,,,,,,,,,,,
2007-07-19,0.001099304,0.007122507,,,,,,,,,,,
2007-07-20,0.024015009,0.012987013,,,,,,,,,,,
2007-07-23,-0.014423077,-0.006451613,,,,,,,,,,,
2007-07-24,-0.020289855,-0.017259598,,,,,,,,,,,
2007-07-25,-0.014285714,-0.011490251,,,,,,,,,,,
2007-07-26,-0.014084507,-0.011359725,,,,,,,,,,,
2007-07-27,0.016463851,0.00763094,,,,,,,,,,,
2007-07-30,-0.002142857,0.008041958,,,,,,,,,,,
2007-07-31,0.006108516,0.002453558,,,,,,,,,,,
2007-08-01,-0.014867257,-0.005576856,,,,,,,,,,,
2007-08-02,-0.008424008,-0.000696621,,,,,,,,,,,
2007-08-03,0.024083393,0.01953125,,,,,,,,,,,
2007-08-06,-0.00143575,0.006433167,,,,,,,,,,,
2007-08-07,0.07277628,0.047547735,,,,,,,,,,,
2007-08-08,-0.016660356,0.003380917,,,,,,,,,,,
2007-08-09,0.008015267,0.006046863,,,,,,,,,,,
2007-08-10,0.009244992,0.009923664,,,,,,,,,,,
2007-08-13,-0.014426727,-0.015037594,,,,,,,,,,,
2007-08-14,0.081724846,0.064,,,,,,,,,,,
2007-08-15,0.007447249,0.006846557,,,,,,,,,,,
2007-08-16,-0.017878911,-0.030456853,,,,,,,,,,,
2007-08-17,-0.019521912,0.008267717,,,,,,,,,,,
2007-08-20,0.012505042,0.020080321,,,,,,,,,,,
2007-08-21,-0.00720865,-0.007572738,,,,,,,,,,,
2007-08-22,-0.016154452,-0.017619421,,,,,,,,,,,
2007-08-23,0.007142857,0.01028481,,,,,,,,,,,
2007-08-24,0.000794281,-0.000395413,,,,,,,,,,,
2007-08-27,-0.004743083,0.007569721,,,,,,,,,,,
2007-08-28,-0.018999612,-0.009471192,,,,,,,,,,,
2007-08-29,0.023412698,0.02757502,,,,,,,,,,,
2007-08-30,0.008,0.002846686,,,,,,,,,,,
2007-08-31,0.028806584,0.039306847,,,,,,,,,,,
2007-09-04,0.002888981,0,,,,,,,,,,,
2007-09-05,-0.010212418,-0.007966457,,,,,,,,,,,
2007-09-06,0.003278689,-0.004175365,,,,,,,,,,,
2007-09-07,-0.020473705,-0.032714055,,,,,,,,,,,
2007-09-10,,-0.000807103,,,,,,,,,,,
2007-09-11,,-0.016666667,,,,,,,,,,,
2007-09-12,,0.002386635,,,,,,,,,,,
2007-09-13,,0.001194743,,,,,,,,,,,
2007-09-14,,0.004801921,,,,,,,,,,,
2007-09-17,,-0.018845701,,,,,,,,,,,
2007-09-18,,0.009912768,,,,,,,,,,,
