Time,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
2006-12-18,0.010025707,0.017320704,,,,,,,,,,,
2006-12-19,0.011177541,0.002441671,,,,,,,,,,,
2006-12-20,0.00286757,0.001902691,,,,,,,,,,,
2006-12-21,0.00156658,0.013498623,,,,,,,,,,,
2006-12-22,0.002355404,-0.002747253,,,,,,,,,,,
2006-12-26,-0.003390715,-0.002739726,,,,,,,,,,,
2006-12-27,0.008947368,0.006896552,,,,,,,,,,,
2006-12-28,-0.001576458,-0.006304825,,,,,,,,,,,
2006-12-29,-0.02159383,-0.004638472,,,,,,,,,,,
2007-01-03,0.00257732,0.004109589,,,,,,,,,,,
2007-01-04,0.018372703,0.015299026,,,,,,,,,,,
2007-01-05,0,-0.002773925,,,,,,,,,,,
2007-01-08,-0.0078125,-0.003868472,,,,,,,,,,,
2007-01-09,0.000521105,-0.000276243,,,,,,,,,,,
2007-01-10,0.00893796,0.005555556,,,,,,,,,,,
2007-01-11,-0.024615385,-0.01071723,,,,,,,,,,,
2007-01-12,-0.00128041,0.002479339,,,,,,,,,,,
2007-01-16,-0.026184539,-0.018918919,,,,,,,,,,,
2007-01-17,0.008805031,0.016483516,,,,,,,,,,,
2007-01-18,-0.01119403,-0.011406844,,,,,,,,,,,
2007-01-19,0.011575239,0.008767123,,,,,,,,,,,
2007-01-22,0.018974359,0.013888889,,,,,,,,,,,
2007-01-23,-0.00102459,-0.005524862,,,,,,,,,,,
2007-01-24,-0.001534527,0.008356546,,,,,,,,,,,
2007-01-25,0.00025582,0,,,,,,,,,,,
2007-01-26,0.025984252,0.031609195,,,,,,,,,,,
2007-01-29,0.055401662,0.054545455,,,,,,,,,,,
2007-01-30,-0.001106807,-0.022222222,,,,,,,,,,,
2007-01-31,-0.009048533,-0.02653591,,,,,,,,,,,
2007-02-01,-0.009505703,-0.012250712,,,,,,,,,,,
2007-02-02,-0.006207827,-0.007072136,,,,,,,,,,,
2007-02-05,0.009811938,0.007122507,,,,,,,,,,,
2007-02-06,0.01102232,0.005730659,,,,,,,,,,,
2007-02-07,-0.003842987,0.00867052,,,,,,,,,,,
2007-02-08,0.001099203,0.000578369,,,,,,,,,,,
2007-02-09,-0.011141304,-0.014253136,,,,,,,,,,,
2007-02-12,-0.00701565,-0.004257735,,,,,,,,,,,
2007-02-13,-0.016976127,-0.015921788,,,,,,,,,,,
2007-02-14,0.015625,0.021689498,,,,,,,,,,,
2007-02-15,0.00596206,0.004011461,,,,,,,,,,,
2007-02-16,-0.000541712,0.008962128,,,,,,,,,,,
2007-02-20,-0.015466667,-0.011714286,,,,,,,,,,,
2007-02-21,-0.019607843,-0.01657769,,,,,,,,,,,
2007-02-22,-0.002607562,-0.003639418,,,,,,,,,,,
2007-02-23,-0.010577915,-0.003070053,,,,,,,,,,,
2007-02-26,-0.012232416,0.000837989,,,,,,,,,,,
2007-02-27,0.00770416,0,,,,,,,,,,,
2007-02-28,-0.018154312,-0.016483516,,,,,,,,,,,
2007-03-01,-0.002515091,0.00110011,,,,,,,,,,,
2007-03-02,0.01661979,0.01,,,,,,,,,,,
2007-03-05,-0.010624842,-0.01369863,,,,,,,,,,,
2007-03-06,0.007390418,0.008287293,,,,,,,,,,,
2007-03-07,-0.010340479,-0.009575923,,,,,,,,,,,
2007-03-08,0.017971759,0.005502063,,,,,,,,,,,
2007-03-09,0.004642765,0.004143646,,,,,,,,,,,
2007-03-12,0.005706874,0.004997224,,,,,,,,,,,
2007-03-13,-0.000259336,-0.007713499,,,,,,,,,,,
2007-03-14,-0.006185567,-0.006839945,,,,,,,,,,,
2007-03-15,-0.005128205,-0.003544166,,,,,,,,,,,
2007-03-16,-0.011657375,-0.016621984,,,,,,,,,,,
2007-03-19,0.000507099,-0.005333333,,,,,,,,,,,
2007-03-20,-0.000253485,0.002405774,,,,,,,,,,,
2007-03-21,0.018853306,0.011627907,,,,,,,,,,,
2007-03-22,0.010966057,0.00955501,,,,,,,,,,,
2007-03-23,-0.005969375,-0.004619565,,,,,,,,,,,
2007-03-26,0.001039231,0.001088139,,,,,,,,,,,
2007-03-27,0.035233997,0.026815642,,,,,,,,,,,
2007-03-28,0.01529219,0.008166714,,,,,,,,,,,
2007-03-29,-0.020855615,-0.013611111,,,,,,,,,,,
2007-03-30,-0.011627907,-0.005250069,,,,,,,,,,,
2007-04-02,0.011223944,-0.001655172,,,,,,,,,,,
2007-04-03,-0.014225501,-0.009562842,,,,,,,,,,,
2007-04-04,0.01280683,0.005494505,,,,,,,,,,,
2007-04-05,0.031938326,0.02247191,,,,,,,,,,,
2007-04-09,0.008888889,0.011363636,,,,,,,,,,,
2007-04-10,0.043478261,0.041420118,,,,,,,,,,,
2007-04-11,0.053756872,0.04871238,,,,,,,,,,,
2007-04-12,-0.005467801,-0.005246914,,,,,,,,,,,
2007-04-13,-0.008433735,0,,,,,,,,,,,
2007-04-16,0.01003955,0.00621118,,,,,,,,,,,
2007-04-17,0.028473091,0.017377567,,,,,,,,,,,
2007-04-18,0.053742169,0.067453626,,,,,,,,,,,
2007-04-19,-0.021612903,-0.017561299,,,,,,,,,,,
2007-04-20,-0.02177343,-0.024878837,,,,,,,,,,,
2007-04-23,0.004755866,0.000323206,,,,,,,,,,,
2007-04-24,0.010897436,0.00781759,,,,,,,,,,,
2007-04-25,0.019607843,0.011532125,,,,,,,,,,,
2007-04-26,-0.013539652,-0.001644737,,,,,,,,,,,
2007-04-27,-0.023607177,-0.016817594,,,,,,,,,,,
2007-04-30,-0.016408669,-0.013716108,,,,,,,,,,,
2007-05-01,-0.007985258,-0.007911392,,,,,,,,,,,
2007-05-02,-0.017797888,-0.015576324,,,,,,,,,,,
2007-05-03,0.017495396,0.011023622,,,,,,,,,,,
2007-05-04,-0.002449479,-0.001572327,,,,,,,,,,,
2007-05-07,-0.025656325,-0.024539877,,,,,,,,,,,
2007-05-08,-0.007109005,-0.012121212,,,,,,,,,,,
2007-05-09,0.017787157,0.015384615,,,,,,,,,,,
2007-05-10,-0.010441527,-0.010353228,,,,,,,,,,,
