"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2015","57.97","57.85","58.20","57.68","-","0.31%"
"Jan 20, 2015","57.78","59.21","59.38","57.78","-","-2.48%"
"Jan 16, 2015","59.26","59.43","59.85","59.18","-","-0.46%"
"Jan 15, 2015","59.53","59.10","60.27","58.85","-","0.86%"
"Jan 14, 2015","59.02","60.05","60.05","58.67","-","-1.88%"
"Jan 13, 2015","60.15","59.71","60.26","59.55","-","0.58%"
"Jan 12, 2015","59.81","60.69","60.72","59.52","-","-1.36%"
"Jan 09, 2015","60.63","60.42","60.86","60.33","-","0.26%"
"Jan 08, 2015","60.47","60.42","60.63","60.22","-","0.22%"
"Jan 07, 2015","60.35","60.12","60.49","59.84","-","0.36%"
"Jan 06, 2015","60.13","60.62","61.24","60.11","-","-0.74%"
"Jan 05, 2015","60.58","59.69","61.13","59.68","-","1.64%"
"Jan 02, 2015","59.60","60.26","60.38","59.48","-","-1.14%"
"Dec 31, 2014","60.28","61.96","62.08","60.23","-","-2.69%"
"Dec 30, 2014","61.95","61.95","62.17","61.83","-","-0.15%"
"Dec 29, 2014","62.04","61.60","62.26","61.44","-","0.57%"
"Dec 28, 2014","61.69","61.69","61.69","61.69","-","0.00%"
"Dec 26, 2014","61.69","61.94","61.94","61.58","-","-0.06%"
"Dec 24, 2014","61.74","61.69","62.15","61.53","-","0.07%"
"Dec 23, 2014","61.69","61.99","62.83","61.57","-","-0.72%"
"Dec 22, 2014","62.13","60.65","62.17","60.49","-","1.96%"
"Dec 21, 2014","60.94","60.94","60.94","60.94","-","0.00%"
"Dec 19, 2014","60.94","60.71","60.96","60.32","-","0.25%"
"Dec 18, 2014","60.79","60.71","60.98","60.19","-","-0.04%"
"Dec 17, 2014","60.81","59.89","60.88","59.50","-","1.65%"
"Dec 16, 2014","59.83","60.61","60.77","59.72","-","-1.62%"
"Dec 15, 2014","60.81","60.68","61.13","60.53","-","0.21%"
"Dec 14, 2014","60.68","60.68","60.68","60.68","-","0.00%"
"Dec 12, 2014","60.68","60.46","61.23","60.45","-","0.02%"
"Dec 11, 2014","60.67","59.63","61.08","59.63","-","1.73%"
"Dec 10, 2014","59.64","59.85","60.80","59.43","-","-0.49%"
"Dec 09, 2014","59.94","59.32","60.38","59.17","-","0.96%"
"Dec 08, 2014","59.37","59.63","60.16","59.31","-","-0.49%"
"Dec 07, 2014","59.66","59.66","59.66","59.66","-","0.00%"
"Dec 05, 2014","59.66","60.44","60.91","59.58","-","-1.33%"
"Dec 04, 2014","60.47","59.56","60.63","59.54","-","1.43%"
"Dec 03, 2014","59.62","59.28","60.24","59.12","-","0.25%"
"Dec 02, 2014","59.47","59.22","59.88","58.98","-","0.58%"
"Dec 01, 2014","59.13","59.98","60.29","59.09","-","-1.60%"
"Nov 30, 2014","60.08","60.08","60.08","60.08","-","0.00%"
"Nov 28, 2014","60.08","59.85","60.71","59.85","-","0.56%"
"Nov 27, 2014","59.75","59.75","59.75","59.75","-","0.00%"
"Nov 26, 2014","59.75","59.26","60.54","59.12","-","0.63%"
"Nov 25, 2014","59.38","58.83","59.60","58.74","-","0.69%"
"Nov 24, 2014","58.97","59.27","59.45","58.54","-","-0.64%"
"Nov 21, 2014","59.35","58.86","59.73","58.81","-","0.41%"
"Nov 20, 2014","59.11","59.06","59.87","58.75","-","0.03%"
"Nov 19, 2014","59.09","59.88","59.96","58.92","-","-1.36%"
"Nov 18, 2014","59.90","59.13","59.92","58.92","-","0.99%"
"Nov 17, 2014","59.31","59.47","59.56","58.92","-","-0.74%"
"Nov 14, 2014","59.76","59.84","60.40","59.61","-","-0.24%"
"Nov 13, 2014","59.90","62.11","62.48","59.56","-","-3.51%"
"Nov 12, 2014","62.08","63.17","63.65","61.91","-","-1.89%"
"Nov 11, 2014","63.28","62.45","64.44","62.45","-","1.57%"
"Nov 10, 2014","62.29","63.82","65.76","62.29","-","-2.71%"
"Nov 07, 2014","64.03","63.20","64.33","62.67","-","1.29%"
"Nov 06, 2014","63.22","62.85","63.33","62.53","-","0.56%"
"Nov 05, 2014","62.86","62.91","63.12","62.03","-","-0.21%"
"Nov 04, 2014","62.99","64.10","64.32","62.75","-","-2.08%"
"Nov 03, 2014","64.32","64.49","64.87","63.69","-","-0.04%"
"Oct 31, 2014","64.35","64.42","64.79","63.27","-","-0.14%"
"Oct 30, 2014","64.44","65.33","66.00","64.34","-","-1.20%"
